topic_id	topic_name	neuron_id	known_neuron_name	 follower_voting_power 	 follower_count 
4	Governance	27	DFINITY Foundation	 192'294'914 	 19'102 
4	Governance	33138099823745946	CO.DELTA вЂљГ±в‰Ґ	 15'342'782 	 201 
4	Governance	4966884161088437903	Wenzel	 10'241'967 	 2'584 
4	Governance	5132308922522452058	ICP Hub Poland	 10'031'698 	 40 
4	Governance	5553849921138062661	Synapse (see neuron merger plan with the Wenzel known neuron)	 8'170'503 	 447 
4	Governance	2649066124191664356	CodeGov.org	 3'572'317 	 334 
4	Governance	7902983898778678943	Jerry Banfield	 3'425'122 	 1'468 
4	Governance	1767081890685465163	GEEKFACTORY	 1'435'130 	 686 
4	Governance	433047053926084807	WaterNeuron	 1'238'395 	 276 
4	Governance	14231996777861930328	ICDevs.org	 1'017'019 	 400 
4	Governance	17682165960669268263	OpenChat	 931'943 	 201 
4	Governance	13538714184009896865	8YearGangDAO	 906'267 	 322 
4	Governance	7446549063176501841	Gold DAO	 816'177 	 87 
4	Governance	5944070935127277981	Krzysztof в‰€ВЄelazko	 641'123 	 190 
4	Governance	10843833286193887500	Anvil	 636'094 	 73 
4	Governance	55674167450360693	ICPL.app	 352'508 	 281 
4	Governance	2334327054503903846	Thyassa	 349'053 	 6 
4	Governance	6914974521667616512	Rakeoff.io	 348'361 	 119 
4	Governance	16335946240875077438	SmaugвЂљГ„Гґs Neuron for Retail Investors	 243'461 	 58 
4	Governance	12860062727199510685	ysyms	 130'596 	 60 
4	Governance	428687636340283207	CryptoIsGood	 125'704 	 139 
4	Governance	16737374299031693047	Taggr Network	 120'526 	 37 
4	Governance	8959053254051540391	The AccumulatorsвЂљГ„Гґ Neuron	 113'371 	 60 
4	Governance	13765488517578645474	Isaac Valadez	 96'298 	 27 
4	Governance	4069412273344914316	Cybersecurity	 88'281 	 12 
4	Governance	12977943926061800402	DragginCorp	 75'323 	 43 
4	Governance	16459595263909468577	LORIMER вЂљГґГ¦Г”в€ЏГЁ пЈїГјГЄв€‚	 73'030 	 37 
4	Governance	11053086394920719168	Nicolas.ic	 39'279 	 18 
4	Governance	5728549712200490799	ICPMANUAL	 34'465 	 47 
4	Governance	2947465672511369	Е’В±lpha-vote	 27'017 	 48 
4	Governance	18422777432977120264	Е’В©mega-reject	 23'894 	 11 
4	Governance	18363645821499695760	Е’В©mega-vote	 23'425 	 4 
4	Governance	8777656085298269769	Paul Young	 19'878 	 19 
4	Governance	6362091663310642824	RawTech Venture	 19'411 	 17 
4	Governance	16673157401414569992	Yuku AI	 19'347 	 17 
4	Governance	2776371642396604393	ICP Hub Mв€љВ©xico	 11'889 	 16 
4	Governance	4714336137769716208	ELNA AI	 10'495 	 18 
4	Governance	1100477100620240869	ICP Hub Bulgaria	 5'084 	 29 
4	Governance	3172308420039087400	ZenithCode	 3'354 	 4 
4	Governance	10323780370508631162	Sonic AMM	 3'291 	 12 
4	Governance	8571487073262291504	NeuronPool	 1'932 	 10 
4	Governance	10389857423811734339	пЈїГјГҐГ† TACO DAO Neuron	 1'860 	 4 
4	Governance	11595773061053702367	ICLight.io	 1'132 	 12 
4	Governance	16781982801159042389	Dexter Caff/acc	 755 	 2 
4	Governance	12093733865587997066	Aviate Labs	 298 	 18 
4	Governance	1637856224910350276	Gwojda	 227 	 3 
4	Governance	4713806069430754115	D-QUORUM	 14 	 7 